S.No.,Organisation Name,Tender Count,Portal URL,Retrieved At
1,Atal Indore City Transport Services Ltd - Indore,7,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
2,Bhopal City Link Limited,16,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
3,Bhopal Co-Operative Central Bank Ltd,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
4,Board of Secondary Education,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
5,Capital Project Administration,14,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
6,Commissioner - Commercial Tax,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
7,Department of Higher Education,42,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
8,Devi Ahilya Vishwavidyalaya - Indore,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
9,Directorate Farmer Welfare And Agriculture Development,3,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
10,Directorate of Animal Husbandry,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
11,Directorate of Food Civil Supplies and Consumer Protection,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
12,Directorate of Health Services,54,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
13,Directorate of Medical Education,30,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
14,Directorate of Panchayati Raj,10,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
15,Directorate of Public Instruction,12,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
16,Directorate of Sericulture M.P.,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
17,Directorate of Technical Education,6,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
18,Directorate of Town And Country Planning,25,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
19,Directorate Of Women and Child Development,5,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
20,Directorate Sports and Youth Welfare,5,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
21,Directorate Urban Administration and Development,3204,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
22,Director General of Prisons and Correctional Services,46,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
23,District Collectorate,56,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
24,District Education Officer Office Neemuch,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
25,Economic Offences Wing,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
26,Engineer-in-Chief - Water Resources Department,10,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
27,Excise Department,4,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
28,General Administration Department - Registrar,2,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
29,High Court of Madhya Pradesh,7,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
30,Homeguard Civil Defence and Disaster Management,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
31,Jawaharlal Nehru Krishi Vishwa Vidyalaya,1,https://mptenders.gov.in/nicgep/app?page=FrontEndTendersByOrganisation&service=page,2026-09-25T10:03:52.314776+00:00
