Tender ID,Organisation,Department,Division,Sub Division,Tender Reference Number,Reference Number,Title,Tender Fee,Processing Fee,EMD Fee,PAC Amount,Total Fee,Location,Pincode,Work Description,Product Category,Sub Category,Contract Type,Bid Validity,Pre Qualification Details,Bid Submission Start Date,Bid Submission End Date,Bid Opening Date,Document Download Start Date,Document Download End Date,Fee Payable To,Fee Payable At,Published Date,Closing Date,Opening Date,Detail Extracted,Search Route
2026_IGGPA_524363_1,Atal Bihari Vajpayee Institute of Good Governance and policy Analysis Bhopal,,,,,AIGGPA/2026,Rate Contract of Toner Cartridge Procurment and Toner Cartridge Reffiling work,795,295,15000,500000,16090,AIGGPA Sushasan Bhawan Bhadbhada Sqaure T.T. Nagar,462003,Rate Contract of Toner Cartridge Procurement and Toner Cartridge Reffiling work,Miscellaneous Goods,Toner Cartridge,Rate Contract,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,19-Aug-2026 12:00 PM,22-Sep-2026 05:00 PM,24-Sep-2026 11:00 AM,19-Aug-2026 12:00 PM,22-Sep-2026 05:00 PM,Nil,Nil,19-Aug-2026 11:00 AM,22-Sep-2026 05:00 PM,24-Sep-2026 11:00 AM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531642_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 113,Indore Mandav Route,8295,295,300000,0,308590,Atal Indore City Transport Services Limited,452001,"Bus Operator for Procurement, Operation and Maintenance of New 12 Meter Electric AC Buses on Indore Mandav Route under Net Cost Contract Model",Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531643_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 114,Indore To Khargone,8295,295,500000,0,508590,Atal Indore City Transport Services Limited,452001,Selection of Bus Operator for Procurement Operation and Maintenance of New 12 Meter Electric AC Buses on Indore-Khargone Route under Net Cost Contract Model,Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531645_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 115,Indore-Khandwa Route,8295,295,500000,0,508590,Atal Indore City Transport Services Limited,452001,Selection of Bus Operator for Procurement Operation and Maintenance of New 12 Meter Electric AC Buses on Indore Khandwa Route under Net Cost Contract Model,Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531648_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 118,Indore Sendhwa Route,8295,295,300000,0,308590,Atal Indore City Transport Services Limited,452001,Selection of Bus Operator for Procurement Operation and Maintenance of New 12 Meter Electric AC Buses on Indore Sendhwa Route under Net Cost Contract Model,Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531647_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 117,Indore-Ujjain Route,8295,295,620000,0,628590,Atal Indore City Transport Services Limited,452001,Selection of Bus Operator for Procurement Operation and Maintenance of New 12 Meter Electric AC Buses on Indore Ujjain Route under Net Cost Contract Model,Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 05:30 PM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_531646_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 116,Indore Bhopal Route,8295,295,800000,0,808590,Atal Indore City Transport Services Limited,452001,"Selection of Bus Operator for Procurement, Operation and Maintenance of New 12 Meter Electric AC Buses on Indore Bhopal Route under Net Cost Contract Model",Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,Nil,Nil,24-Aug-2026 09:00 AM,28-Sep-2026 05:30 PM,29-Sep-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_AICTS_530313_1,Atal Indore City Transport Services Ltd - Indore,,,,,AICTSL/2026/MPE-Tender/NIT NO. 112,Construction of Bus Q Shelters,15295,295,400000,0,415590,Atal Indore City Transport Services Limited,452001,"Request for Proposal RFP for the Selection Of Agency To Design, Build Operate Maintain And Transfer Of 100 New Bus Shelters For AICTSL on PPP Mode",Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,Please refer Tender documents.,18-Aug-2026 11:00 AM,30-Sep-2026 05:30 PM,01-Oct-2026 05:30 PM,18-Aug-2026 11:00 AM,30-Sep-2026 05:30 PM,Nil,Nil,18-Aug-2026 11:00 AM,30-Sep-2026 05:30 PM,01-Oct-2026 05:30 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_BCLL_534099_1,Bhopal City Link Limited,,,,,B002,Route B-25 Sukhisewniya to Bhojpur,1795,295,10000,NA,12090,Bhopal,462023,Selection of Bus Operators for Procurement Operation and Maintenance of Intracity Bus Services on Route No B25 Sukhisewniya to Bhojpur in Bhopal under the Net Cost Contract Model,Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,As per RFP Document,17-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,Nil,Nil,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
2026_BCLL_534100_1,Bhopal City Link Limited,,,,,B003,B28 Industrial Area Acharpura to Bilkisganj),1795,295,10000,NA,12090,Bhopal,462023,"Selection of Bus Operators for Procurement, Operation and Maintenance of Intracity Bus Services on Route No B-28 (Industrial Area Acharpura to Bilkisganj) in Bhopal under the Net Cost Contract Model",Miscellaneous Services,NA,Tender,MIS Reports Tenders by Location Tenders by Organisation Tenders by Classification Tenders in Archive Tenders Status Cancelled/Retendered Downloads Debarment List Announcements Recognitions Site compatibility,As per RFP document,17-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,Nil,Nil,07-Sep-2026 09:00 AM,08-Oct-2026 05:00 PM,09-Oct-2026 05:00 PM,YES,Home -> Tender ID -> GO -> Tender Title -> Detail
